"No.","Time","Source","Destination","Protocol","Length","Info"
"159","2.855247","10.35.98.216","198.189.66.48","TCP","1460","60763  >  443 [ACK] Seq=1 Ack=1 Win=49988 Len=1394 TSval=3071730770 TSecr=657495032 [TCP segment of a reassembled PDU]"
"160","2.855248","10.35.98.216","198.189.66.48","TLSv1.2","597","Application Data"
"168","2.861339","198.189.66.48","10.35.98.216","TCP","66","443  >  60763 [ACK] Seq=1 Ack=1926 Win=489 Len=0 TSval=657500931 TSecr=3071730770"
"169","2.865094","198.189.66.48","10.35.98.216","TLSv1.2","1460","Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
"170","2.865099","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=1395 Ack=1926 Win=489 Len=1394 TSval=657500933 TSecr=3071730770 [TCP segment of a reassembled PDU]"
"171","2.865187","10.35.98.216","198.189.66.48","TCP","66","60763  >  443 [ACK] Seq=1926 Ack=2789 Win=49944 Len=0 TSval=3071730780 TSecr=657500933"
"172","2.865852","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=2789 Ack=1926 Win=489 Len=1394 TSval=657500933 TSecr=3071730770 [TCP segment of a reassembled PDU]"
"173","2.865856","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=4183 Ack=1926 Win=489 Len=1394 TSval=657500933 TSecr=3071730770 [TCP segment of a reassembled PDU]"
"174","2.865867","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=5577 Ack=1926 Win=489 Len=1394 TSval=657500933 TSecr=3071730770 [TCP segment of a reassembled PDU]"
"175","2.865869","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=6971 Ack=1926 Win=489 Len=1394 TSval=657500933 TSecr=3071730770 [TCP segment of a reassembled PDU]"
"176","2.865870","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=8365 Ack=1926 Win=489 Len=1394 TSval=657500933 TSecr=3071730770 [TCP segment of a reassembled PDU]"
"177","2.865871","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=9759 Ack=1926 Win=489 Len=1394 TSval=657500933 TSecr=3071730770 [TCP segment of a reassembled PDU]"
"178","2.865943","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=11153 Ack=1926 Win=489 Len=1394 TSval=657500933 TSecr=3071730770 [TCP segment of a reassembled PDU]"
"179","2.865945","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=12547 Ack=1926 Win=489 Len=1394 TSval=657500933 TSecr=3071730770 [TCP segment of a reassembled PDU]"
"180","2.866007","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=13941 Ack=1926 Win=489 Len=1394 TSval=657500933 TSecr=3071730770 [TCP segment of a reassembled PDU]"
"181","2.866009","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=15335 Ack=1926 Win=489 Len=1394 TSval=657500933 TSecr=3071730770 [TCP segment of a reassembled PDU]"
"182","2.866118","198.189.66.48","10.35.98.216","TLSv1.2","1460","Application Data"
"183","2.866164","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=18123 Ack=1926 Win=489 Len=1394 TSval=657500933 TSecr=3071730770 [TCP segment of a reassembled PDU]"
"184","2.866203","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=19517 Ack=1926 Win=489 Len=1394 TSval=657500933 TSecr=3071730770 [TCP segment of a reassembled PDU]"
"185","2.866205","198.189.66.48","10.35.98.216","TCP","1460","443  >  60763 [ACK] Seq=20911 Ack=1926 Win=489 Len=1394 TSval=657500933 TSecr=3071730770 [TCP segment of a reassembled PDU]"
"186","2.866220","10.35.98.216","198.189.66.48","TCP","66","[TCP Window Update] 60763  >  443 [ACK] Seq=1926 Ack=2789 Win=49988 Len=0 TSval=3071730780 TSecr=657500933"
"187","2.866220","10.35.98.216","198.189.66.48","TCP","66","60763  >  443 [ACK] Seq=1926 Ack=6971 Win=49923 Len=0 TSval=3071730780 TSecr=657500933"
"188","2.866221","10.35.98.216","198.189.66.48","TCP","66","60763  >  443 [ACK] Seq=1926 Ack=11153 Win=49857 Len=0 TSval=3071730780 TSecr=657500933"
"189","2.866221","10.35.98.216","198.189.66.48","TCP","66","[TCP Window Update] 60763  >  443 [ACK] Seq=1926 Ack=11153 Win=49988 Len=0 TSval=3071730780 TSecr=657500933"
"190","2.866221","10.35.98.216","198.189.66.48","TCP","66","60763  >  443 [ACK] Seq=1926 Ack=13941 Win=49944 Len=0 TSval=3071730780 TSecr=657500933"
"191","2.866221","10.35.98.216","198.189.66.48","TCP","66","60763  >  443 [ACK] Seq=1926 Ack=16729 Win=49901 Len=0 TSval=3071730780 TSecr=657500933"
"192","2.866221","10.35.98.216","198.189.66.48","TCP","66","[TCP Window Update] 60763  >  443 [ACK] Seq=1926 Ack=16729 Win=49988 Len=0 TSval=3071730781 TSecr=657500933"
